w_mf,w_knn,w_pop,k,users,ndcg@k,map@k
0.5555555555555556,0.22222222222222227,0.22222222222222227,10,300,0.02851177382448431,0.016312169312169313
0.5,0.3,0.2,10,300,0.02731714626366933,0.0157010582010582
0.6,0.2,0.2,10,300,0.02637598111405748,0.015404761904761904
0.45454545454545453,0.36363636363636365,0.18181818181818182,10,300,0.026061438503684028,0.015034391534391534
0.6363636363636364,0.18181818181818185,0.18181818181818185,10,300,0.025951302591129793,0.015964285714285716
0.5833333333333334,0.25,0.16666666666666669,10,300,0.02588146960091592,0.01587698412698413
0.5384615384615384,0.3076923076923077,0.15384615384615385,10,300,0.02577931753382752,0.015765873015873014
0.5,0.33333333333333337,0.16666666666666669,10,300,0.025120273354072176,0.01473809523809524
0.5454545454545455,0.27272727272727276,0.18181818181818185,10,300,0.025120273354072176,0.01473809523809524
0.7,0.2,0.1,10,300,0.02322629284261211,0.014526455026455025
0.6363636363636362,0.2727272727272727,0.09090909090909091,10,300,0.02305029250615984,0.014359788359788359
0.625,0.25000000000000006,0.12500000000000003,10,300,0.022311513056531264,0.014202380952380954
0.6666666666666666,0.22222222222222224,0.11111111111111112,10,300,0.022175705355456956,0.014063492063492064
0.5555555555555556,0.3333333333333333,0.11111111111111112,10,300,0.02212758908505113,0.014017195767195767
0.6,0.3,0.1,10,300,0.02196334273757603,0.013854497354497355
0.5,0.4,0.1,10,300,0.021608916229382266,0.013447089947089947
0.5833333333333333,0.3333333333333333,0.08333333333333333,10,300,0.020937230596757436,0.013489417989417989
0.5454545454545454,0.36363636363636365,0.09090909090909091,10,300,0.020754268727407908,0.013257936507936509
