number,value,datetime_start,datetime_complete,duration,params_lr,params_n_epochs,params_n_factors,params_reg,state
31,0.02717921874049642,2025-11-16 13:13:54.421065,2025-11-16 13:57:19.358756,0 days 00:43:24.937691,0.00030557174979347143,12,83,0.0001678042824363636,COMPLETE
32,0.02395932302385639,2025-11-16 13:57:19.359759,2025-11-16 14:52:55.475598,0 days 00:55:36.115839,0.00036947420319013123,15,52,0.00014592229730700997,COMPLETE
33,0.027999953143721185,2025-11-16 14:52:55.484733,2025-11-16 16:01:53.301405,0 days 01:08:57.816672,0.0002630291673132829,12,76,0.00023199753657872902,COMPLETE
34,0.02064403025121125,2025-11-16 16:01:53.310381,2025-11-16 16:53:43.644367,0 days 00:51:50.333986,0.0005154484665603572,17,35,0.0004244355610847203,COMPLETE
35,0.028674170605936494,2025-11-16 16:53:43.649927,2025-11-16 18:00:28.437329,0 days 01:06:44.787402,0.0013046449048946711,19,87,0.0008392087362341991,COMPLETE
36,0.0071030991785715255,2025-11-16 18:00:28.441518,2025-11-16 18:17:20.920051,0 days 00:16:52.478533,0.00019198325952363921,5,61,0.00012782730075318135,COMPLETE
37,0.026649100633408033,2025-11-16 18:17:20.930025,2025-11-16 18:32:46.302833,0 days 00:15:25.372808,0.0007515640910119694,4,128,0.0014393207325652186,COMPLETE
38,0.02289842558683074,2025-11-16 18:32:46.303832,2025-11-16 19:17:35.818982,0 days 00:44:49.515150,0.0004265686516218487,13,191,0.00025032855842746445,COMPLETE
39,0.013829041047924857,2025-11-16 19:17:35.826107,2025-11-16 19:42:43.802961,0 days 00:25:07.976854,0.0033997101418026822,10,157,0.0005932026244476302,COMPLETE
40,0.006003433318879938,2025-11-16 19:42:43.803967,2025-11-16 19:58:56.774817,0 days 00:16:12.970850,0.00014349277262640285,6,142,0.0033954074303729777,COMPLETE
41,0.03023504752787687,2025-11-16 19:58:56.779809,2025-11-16 20:12:38.572131,0 days 00:13:41.792322,0.0005428280059632648,4,251,0.0002995922534125731,COMPLETE
42,0.010879746652217071,2025-11-16 20:12:38.575141,2025-11-16 20:33:04.973228,0 days 00:20:26.398087,0.00024622983768398434,5,213,0.00038573528221867416,COMPLETE
43,0.023731384294401178,2025-11-16 20:33:04.981624,2025-11-16 20:51:38.008834,0 days 00:18:33.027210,0.001078903345217511,4,230,0.0007856186742390231,COMPLETE
44,0.026580500001400442,2025-11-16 20:51:38.012603,2025-11-16 21:18:44.679735,0 days 00:27:06.667132,0.0005007901491329202,7,26,0.00010219505828793965,COMPLETE
45,0.023931281250855353,2025-11-16 21:18:44.687678,2025-11-16 22:05:28.302113,0 days 00:46:43.614435,0.0007174090217083044,6,68,0.00017793438601903903,COMPLETE
46,0.0016666666666666668,2025-11-16 22:05:28.307099,2025-11-16 22:19:48.549743,0 days 00:14:20.242644,0.00028634348920541207,4,32,0.00026778286402867775,COMPLETE
47,0.024262640295062907,2025-11-16 22:19:48.553733,2025-11-16 22:43:02.655870,0 days 00:23:14.102137,0.0019054495382028215,5,255,0.0011470111735883929,COMPLETE
48,0.02628520273241609,2025-11-16 22:43:02.656870,2025-11-16 23:09:15.212469,0 days 00:26:12.555599,0.0012681031255016466,9,98,0.0016666445143203221,COMPLETE
49,0.019993072480564162,2025-11-16 23:09:15.214476,2025-11-16 23:26:47.892126,0 days 00:17:32.677650,0.000342326185683802,6,176,0.05119433658564118,COMPLETE
50,0.013829041047924857,2025-11-16 23:26:47.893165,2025-11-16 23:38:20.411262,0 days 00:11:32.518097,0.0063848750919884715,4,198,0.00034294083275312917,COMPLETE
51,0.031188176712103607,2025-11-16 23:38:20.417341,2025-11-16 23:51:39.219439,0 days 00:13:18.802098,0.0006458682503237636,4,242,0.0003397578027300404,COMPLETE
52,0.025366839949801184,2025-11-16 23:51:39.229822,2025-11-17 00:08:13.761235,0 days 00:16:34.531413,0.0007032304510642388,5,241,0.0005057833793906823,COMPLETE
53,0.030111806882167306,2025-11-17 00:08:13.765242,2025-11-17 00:21:08.882964,0 days 00:12:55.117722,0.0004963163226070596,4,245,0.00013078202475739998,COMPLETE
54,0.03075244954385748,2025-11-17 00:21:08.888948,2025-11-17 00:33:55.053851,0 days 00:12:46.164903,0.00044144355352959116,4,245,0.00013655481075372584,COMPLETE
55,0.0043917645510264496,2025-11-17 00:33:55.054875,2025-11-17 00:49:53.262665,0 days 00:15:58.207790,0.00021436774853307998,5,226,0.002341709371523084,COMPLETE
56,0.023489006866703556,2025-11-17 00:49:53.266653,2025-11-17 01:16:51.995443,0 days 00:26:58.728790,0.0008412320394422738,7,236,0.00019625171731311693,COMPLETE
57,0.01907532132451518,2025-11-17 01:16:52.003919,2025-11-17 01:34:38.995507,0 days 00:17:46.991588,0.0010971269407721751,4,218,0.0003390410231047725,COMPLETE
58,0.02271410781421663,2025-11-17 01:34:39.006592,2025-11-17 02:01:14.697873,0 days 00:26:35.691281,0.0006292159371188891,6,253,0.0007407268108799504,COMPLETE
59,0.02848077756638382,2025-11-17 02:01:14.699885,2025-11-17 02:22:46.775674,0 days 00:21:32.075789,0.00044233892915311677,5,206,0.00436571103499679,COMPLETE
