model,ndcg@10,map@10,coverage@10,ndcg_lift_vs_popularity_pct,map_lift_vs_popularity_pct,coverage_lift_vs_popularity_pct
content_tfidf,0.025275788507117,0.02073148148148148,,-17.72804712747876,13.088967457969542,
popularity,0.030722242057729363,0.01833201058201058,,0.0,0.0,
popularity,0.030722242057729363,0.01833201058201058,,0.0,0.0,
popularity,0.04384926329039148,0.029592857142857143,0.005625502276989017,42.728070457863964,61.42723140197705,
popularity,0.04384926329039148,0.029592857142857143,0.005625502276989017,42.728070457863964,61.42723140197705,
popularity,0.04384926329039148,0.029592857142857143,0.005625502276989017,42.728070457863964,61.42723140197705,
popularity,0.041197797811398956,0.027851190476190474,0.005804089650861684,34.097627816307316,51.92654592683454,
popularity,0.041197797811398956,0.027851190476190474,0.005804089650861684,34.097627816307316,51.92654592683454,
popularity,0.041197797811398956,0.027851190476190474,0.005804089650861684,34.097627816307316,51.92654592683454,
popularity,0.041197797811398956,0.027851190476190474,0.005804089650861684,34.097627816307316,51.92654592683454,
